user_id,video_id,00:00:04,00:00:05,00:00:06,00:00:07,00:00:08,00:00:09,00:00:10,00:00:11,00:00:12,00:00:13,00:00:14,00:00:15,00:00:16,00:00:17,00:00:18,00:00:19,00:00:20,00:00:21,00:00:22,00:00:23,00:00:24,00:00:25,00:00:26,00:00:27,00:00:28,00:00:29,00:00:30,00:00:31,00:00:32,00:00:33,00:00:34,00:00:35,00:00:36,00:00:37,00:00:38,00:00:39,00:00:40,00:00:41,00:00:42,00:00:43,00:00:44,00:00:45,00:00:46,00:00:47,00:00:48,00:00:49,00:00:50,00:00:51,00:00:52,00:00:53,00:00:54,00:00:55,00:00:56,00:00:57,00:00:58,00:00:59,00:01:00,00:01:01,00:01:02,00:01:03,00:01:04,00:01:05,00:00:00
0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,17.0,1.0,16.0,20.0,18.0,20.0,9.0,6.0,17.0,19.0,16.0,6.0,16.0,3.0,4.0,3.0,7.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,826.0,141.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3,3,,0.0,0.0,6.0,23.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,22.0,13.0,46.0,8.0,10.0,23.0,23.0,24.0,24.0,18.0,23.0,25.0,20.0,25.0,14.0,13.0,10.0,25.0,23.0,22.0,21.0,0.0,0.0,0.0,0.0,
4,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,14.0,19.0,20.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,8.0,16.0,21.0,2.0,0.0,3.0,0.0,
5,3,,0.0,46.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,3.0,4.0,21.0,9.0,0.0,0.0,0.0,3.0,515.0,164.0,103.0,23.0,13.0,7.0,7.0,0.0,10.0,1.0,9.0,14.0,1.0,11.0,101.0,18.0,105.0,140.0,119.0,102.0,74.0,77.0,45.0,87.0,17.0,18.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,,
6,3,,,0.0,1.0,15.0,298.0,568.0,878.0,71.0,27.0,1.0,218.0,436.0,49.0,6.0,570.0,239.0,137.0,14.0,55.0,14.0,16.0,20.0,0.0,588.0,1222.0,74.0,25.0,120.0,900.0,1300.0,1097.0,357.0,675.0,72.0,1224.0,1400.0,1296.0,1400.0,1500.0,666.0,127.0,136.0,864.0,1197.0,194.0,0.0,295.0,378.0,219.0,414.0,251.0,416.0,356.0,137.0,71.0,33.0,5.0,0.0,0.0,0.0,1.0,
7,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
8,3,,7.0,3.0,66.0,65.0,4.0,73.0,70.0,9.0,3.0,26.0,28.0,2.0,0.0,10.0,60.0,49.0,87.0,16.0,15.0,0.0,7.0,3.0,0.0,13.0,21.0,16.0,6.0,2.0,45.0,101.0,327.0,1703.0,1099.0,136.0,59.0,23.0,13.0,16.0,36.0,42.0,31.0,19.0,34.0,63.0,78.0,75.0,37.0,22.0,81.0,59.0,28.0,47.0,18.0,9.0,7.0,15.0,30.0,26.0,3.0,0.0,0.0,
9,3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,9.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,104.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,11.0,63.0,5.0,0.0,7.0,3.0,5.0,
10,3,,0.0,0.0,0.0,105.0,286.0,1.0,0.0,0.0,9.0,33.0,5.0,0.0,0.0,2.0,0.0,279.0,463.0,14.0,1.0,52.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,32.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,10.0,18.0,13.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
11,3,,,0.0,0.0,0.0,0.0,1.0,134.0,1.0,8.0,0.0,0.0,0.0,2.0,17.0,57.0,13.0,18.0,3.0,0.0,0.0,1.0,0.0,0.0,20.0,8.0,18.0,18.0,10.0,0.0,3.0,8.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,8.0,0.0,0.0,6.0,11.0,4.0,215.0,1300.0,714.0,87.0,22.0,28.0,0.0,1.0,2.0,0.0,0.0,9.0,1.0,
12,3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
15,3,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65.0,23.0,17.0,52.0,740.0,660.0,1158.0,74.0,
