user_id,video_id,nb_timestamps,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure
0,1,1471,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,0.0,0.0,0.0
0,2,1137,41.0,13.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,3.0,0.0
0,3,1141,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,10.0,6.0,0.0,2.0,61.0
1,1,1146,39.0,14.0,44.0,6.0,0.0,0.0,0.0,15.0,59.0,2.0,20.0,1.0,45.0,34.0
1,2,861,0.0,57.0,2.0,6.0,0.0,0.0,4.0,2.0,60.0,6.0,6.0,0.0,0.0,0.0
1,3,1004,0.0,37.0,99.0,5.0,2.0,0.0,1.0,95.0,52.0,60.0,91.0,19.0,100.0,19.0
2,1,365,0.0,2.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,86.0
2,2,234,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,67.0,7.0,0.0,3.0,78.0
2,3,260,80.0,1.0,2.0,1.0,0.0,0.0,0.0,95.0,5.0,99.0,54.0,0.0,50.0,57.0
3,1,1686,97.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,30.0,6.0,0.0,0.0,0.0,74.0
3,2,1240,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,69.0
3,3,1379,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,60.0
4,1,1424,0.0,1.0,5.0,89.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0
4,2,1054,0.0,19.0,12.0,85.0,4.0,0.0,0.0,1.0,1.0,3.0,8.0,0.0,0.0,100.0
4,3,1096,0.0,3.0,4.0,94.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,98.0
5,1,971,0.0,100.0,64.0,94.0,30.0,2.0,71.0,98.0,100.0,100.0,95.0,100.0,29.0,99.0
5,2,844,0.0,97.0,29.0,7.0,2.0,95.0,0.0,1.0,2.0,22.0,0.0,59.0,23.0,92.0
5,3,745,0.0,100.0,60.0,100.0,92.0,1.0,99.0,95.0,17.0,71.0,100.0,83.0,6.0,100.0
6,1,888,68.0,100.0,100.0,100.0,17.0,99.0,11.0,53.0,7.0,83.0,100.0,98.0,28.0,100.0
6,2,693,89.0,100.0,97.0,96.0,1.0,3.0,100.0,18.0,6.0,9.0,2.0,97.0,2.0,100.0
6,3,734,100.0,96.0,100.0,21.0,100.0,79.0,99.0,97.0,100.0,100.0,100.0,100.0,97.0,100.0
7,1,790,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0
7,2,580,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,42.0
7,3,618,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
8,1,1177,0.0,0.0,10.0,23.0,32.0,22.0,0.0,0.0,0.0,1.0,4.0,13.0,0.0,100.0
8,2,937,100.0,0.0,16.0,0.0,24.0,0.0,53.0,93.0,1.0,48.0,68.0,100.0,0.0,100.0
8,3,985,96.0,0.0,99.0,0.0,1.0,7.0,1.0,81.0,25.0,76.0,99.0,87.0,0.0,100.0
9,1,985,100.0,0.0,1.0,79.0,51.0,0.0,0.0,15.0,7.0,28.0,100.0,66.0,51.0,100.0
9,2,703,100.0,0.0,1.0,90.0,42.0,0.0,0.0,74.0,3.0,19.0,100.0,100.0,16.0,100.0
9,3,720,100.0,23.0,98.0,2.0,89.0,0.0,0.0,98.0,69.0,92.0,100.0,56.0,85.0,100.0
10,1,813,0.0,0.0,53.0,97.0,2.0,4.0,81.0,39.0,100.0,96.0,9.0,98.0,5.0,100.0
10,2,595,0.0,15.0,87.0,99.0,2.0,0.0,0.0,10.0,1.0,9.0,0.0,4.0,1.0,100.0
10,3,605,1.0,3.0,88.0,93.0,10.0,0.0,10.0,36.0,33.0,25.0,90.0,94.0,13.0,100.0
11,1,921,100.0,22.0,100.0,31.0,99.0,3.0,2.0,87.0,37.0,63.0,100.0,100.0,3.0,100.0
11,2,622,100.0,84.0,89.0,12.0,97.0,0.0,53.0,5.0,11.0,18.0,1.0,0.0,3.0,98.0
11,3,692,100.0,71.0,100.0,24.0,89.0,54.0,61.0,8.0,1.0,78.0,38.0,7.0,2.0,96.0
12,1,1188,0.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,14.0,95.0
12,2,852,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,86.0,100.0
12,3,870,0.0,12.0,99.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,3.0,1.0,100.0
13,1,587,0.0,4.0,1.0,53.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,3.0,0.0,2.0
13,2,445,0.0,7.0,1.0,56.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,100.0
13,3,459,0.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,4.0,45.0
14,1,1,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2,4,0.0,17.0,96.0,28.0,0.0,0.0,0.0,30.0,99.0,89.0,1.0,0.0,1.0,0.0
14,3,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
