user_id,video_id,nb_timestamps,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure
0,1,1471,0.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,0.0,0.0,0.0
0,2,1137,15.0,71.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,27.0,0.0,1.0,0.0
0,3,1141,0.0,65.0,9.0,0.0,0.0,0.0,0.0,4.0,3.0,8.0,32.0,0.0,0.0,60.0
1,1,1146,0.0,45.0,26.0,12.0,0.0,0.0,0.0,69.0,52.0,9.0,48.0,1.0,57.0,0.0
1,2,861,0.0,61.0,4.0,7.0,0.0,0.0,5.0,16.0,132.0,44.0,23.0,0.0,0.0,0.0
1,3,1004,0.0,66.0,110.0,12.0,2.0,0.0,3.0,284.0,50.0,142.0,401.0,28.0,67.0,19.0
2,1,365,0.0,3.0,2.0,129.0,0.0,0.0,0.0,0.0,0.0,3.0,51.0,0.0,0.0,92.0
2,2,234,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,0.0,7.0,207.0
2,3,260,93.0,0.0,1.0,0.0,0.0,0.0,0.0,172.0,5.0,266.0,67.0,0.0,40.0,58.0
3,1,1686,70.0,8.0,77.0,4.0,0.0,0.0,0.0,0.0,42.0,18.0,0.0,0.0,0.0,125.0
3,2,1240,0.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
3,3,1379,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,35.0
4,1,1424,0.0,3.0,3.0,1319.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,222.0
4,2,1054,0.0,39.0,44.0,947.0,2.0,0.0,0.0,1.0,1.0,6.0,49.0,0.0,0.0,88.0
4,3,1096,0.0,24.0,11.0,990.0,6.0,0.0,2.0,0.0,11.0,16.0,0.0,0.0,0.0,158.0
5,1,971,0.0,276.0,101.0,148.0,47.0,2.0,117.0,272.0,138.0,112.0,59.0,146.0,56.0,742.0
5,2,844,0.0,1.0,59.0,0.0,0.0,0.0,0.0,1.0,2.0,98.0,0.0,31.0,0.0,11.0
5,3,745,0.0,303.0,81.0,293.0,15.0,1.0,99.0,82.0,21.0,140.0,109.0,318.0,6.0,1773.0
6,1,888,12.0,274.0,837.0,207.0,38.0,513.0,18.0,120.0,14.0,203.0,135.0,580.0,12.0,1875.0
6,2,693,35.0,203.0,344.0,174.0,1.0,2.0,171.0,41.0,14.0,5.0,0.0,223.0,2.0,1719.0
6,3,734,152.0,618.0,692.0,11.0,10.0,16.0,131.0,202.0,103.0,444.0,223.0,317.0,129.0,1056.0
7,1,790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,70.0
7,2,580,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,39.0
7,3,618,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
8,1,1177,0.0,0.0,45.0,15.0,20.0,16.0,0.0,0.0,0.0,2.0,2.0,15.0,0.0,0.0
8,2,937,64.0,0.0,53.0,0.0,18.0,0.0,31.0,45.0,1.0,34.0,39.0,113.0,0.0,122.0
8,3,985,44.0,0.0,145.0,0.0,0.0,4.0,0.0,49.0,17.0,89.0,92.0,152.0,0.0,168.0
9,1,985,157.0,0.0,1.0,24.0,87.0,0.0,0.0,8.0,3.0,27.0,376.0,49.0,133.0,614.0
9,2,703,314.0,0.0,0.0,106.0,87.0,0.0,0.0,60.0,4.0,46.0,109.0,74.0,21.0,826.0
9,3,720,267.0,16.0,114.0,1.0,82.0,0.0,0.0,67.0,40.0,133.0,121.0,101.0,80.0,519.0
